ID.PRO,NOT,VOL,FOL,DIA,MES,AÑO,LUGAR,ESCRIBANO,TIPO
1V11F544R,1,11,544R-544V,17,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F545R,1,11,545R-545V,17,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F546R,1,11,546R-546V,17,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F547R,1,11,547R-547V,16,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F548R,1,11,548R,19,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F549R,1,11,549R,21,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F550R,1,11,550R,21,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F550V,1,11,550V,21,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F551R,1,11,551R,22,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F551V,1,11,551V,22,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F552R,1,11,552R-552V,22,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F553R,1,11,553R-553V,23,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F554R,1,11,554R-554V,26,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CARTA DE LASTO
1V11F555R,1,11,555R-555V,28,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F556R,1,11,556R,28,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F556V,1,11,556V,29,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F557R,1,11,557R,29,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
1V11F557V,1,11,557V,29,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CARTA DE PAGO
1V11F558R,1,11,558R,30,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,ASIENTO
1V11F559R,1,11,559R-560V,30,3,1580,SANTAFE,LUIS LOPEZ CARVAJAL,VENTA
1V11F561R,1,11,561R-561V,2,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F562R,1,11,562R-562V,2,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CARTA DE LASTO
1V11F563R,1,11,563R-563V,2,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,CARTA DE PAGO
1V11F564R,1,11,564R,5,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,PODER
1V11F564V,1,11,564V-565R,6,4,1580,SANTAFE,LUIS LOPEZ CARVAJAL,OBLIGACION
